taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/101	101	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1028	1028	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1031	1031	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1035	1035	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1037	1037	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1045	1045	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1065	1065	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1067	1067	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1069	1069	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/107	107	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1076	1076	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1078	1078	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/108	108	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1083	1083	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1097	1097	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/110	110	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1110	1110	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1119	1119	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1121	1121	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1128	1128	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/113	113	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1131	1131	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1132	1132	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1136	1136	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1140	1140	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1141	1141	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1142	1142	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1143	1143	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/115	115	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1158	1158	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1159	1159	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/116	116	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1167	1167	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1175	1175	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1188	1188	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1192	1192	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1196	1196	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1197	1197	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1198	1198	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1199	1199	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1200	1200	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1201	1201	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1205	1205	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/121	121	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1220	1220	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1229	1229	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/123	123	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1235	1235	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/1239	1239	-	-	-
alignment/AL_A3Z1_UNCONSTRAINED/member/fasta-digs-msa/124	124	-	-	-
