sequenceID	gene_id_old	gene_id	full_name	organism	organism_tax_order	type
NM_020661	AICDA	AICDA	Homo sapiens activation induced cytidine deaminase	Homo sapiens	Primates	confirmed_mRNA
NM_001644	APOBEC1	APOBEC1	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 1	Homo sapiens	Primates	confirmed_mRNA
NM_000384	APOBEC2	APOBEC2	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 2	Homo sapiens	Primates	confirmed_mRNA
NM_145699	APOBEC3A	A3Z1a	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3A	Homo sapiens	Primates	confirmed_mRNA
NM_004900	APOBEC3B	A3Z2a-A3Z1b	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3B 	Homo sapiens	Primates	confirmed_mRNA
NM_014508	APOBEC3C	A3Z2b	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3C	Homo sapiens	Primates	confirmed_mRNA
NM_152426	APOBEC3D	A3Z2c-A3Z2d	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3D	Homo sapiens	Primates	confirmed_mRNA
NM_145298	APOBEC3Fv1	A3Z2e-A3Z2f	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3F	Homo sapiens	Primates	confirmed_mRNA
NM_021822	APOBEC3G	A3Z2g-A3Z1c	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3G	Homo sapiens	Primates	confirmed_mRNA
NM_181773	APOBEC3H	A3Z3	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3H	Homo sapiens	Primates	confirmed_mRNA
NM_203454	APOBEC4	APOBEC4	Homo sapiens apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	Homo sapiens	Primates	confirmed_mRNA
NM_001346124	APOBEC3H	A3Z3	Bos taurus apolipoprotein B mRNA	Bos taurus	Artiodactyla	confirmed_mRNA
XM_005606478	APOBEC3H	A3Z3	Equus caballus apolipoprotein B mRNA editing enzyme catalytic subunit 3H	Equus caballus	Perissodactyla	predicted_mRNA
KX241572	APOBEC3Z1a	APOBEC3Z1a	Pteropus vampyrus apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3	Pteropus vampyrus	Chiroptera	confirmed_mRNA
KX241572	APOBEC3Z2A	APOBEC3Z2A	APOBEC3Z2A	Pteropus vampyrus	Chiroptera	confirmed_mRNA
KX241572	APOBEC3Z3	APOBEC3Z3	APOBEC3Z3	Pteropus vampyrus	Chiroptera	confirmed_mRNA
